datetime,volume_delta,cumulative_volume_delta,transaction_delta,cumulative_transaction_delta,liquidation_delta,cumulative_liquidation_delta,close_price_7_ma,close_price_7_std,close_price_7_z_score,close_price_31_ma,close_price_31_std,close_price_31_z_score,close_price_127_ma,close_price_127_std,close_price_127_z_score,close_price_367_ma,close_price_367_std,close_price_367_z_score,volume_7_ma,volume_7_std,volume_7_z_score,volume_31_ma,volume_31_std,volume_31_z_score,volume_127_ma,volume_127_std,volume_127_z_score,volume_367_ma,volume_367_std,volume_367_z_score,volume_delta_7_ma,volume_delta_7_std,volume_delta_7_z_score,volume_delta_31_ma,volume_delta_31_std,volume_delta_31_z_score,volume_delta_127_ma,volume_delta_127_std,volume_delta_127_z_score,volume_delta_367_ma,volume_delta_367_std,volume_delta_367_z_score,cumulative_volume_delta_7_ma,cumulative_volume_delta_7_std,cumulative_volume_delta_7_z_score,cumulative_volume_delta_31_ma,cumulative_volume_delta_31_std,cumulative_volume_delta_31_z_score,cumulative_volume_delta_127_ma,cumulative_volume_delta_127_std,cumulative_volume_delta_127_z_score,cumulative_volume_delta_367_ma,cumulative_volume_delta_367_std,cumulative_volume_delta_367_z_score,transactions_7_ma,transactions_7_std,transactions_7_z_score,transactions_31_ma,transactions_31_std,transactions_31_z_score,transactions_127_ma,transactions_127_std,transactions_127_z_score,transactions_367_ma,transactions_367_std,transactions_367_z_score,transaction_delta_7_ma,transaction_delta_7_std,transaction_delta_7_z_score,transaction_delta_31_ma,transaction_delta_31_std,transaction_delta_31_z_score,transaction_delta_127_ma,transaction_delta_127_std,transaction_delta_127_z_score,transaction_delta_367_ma,transaction_delta_367_std,transaction_delta_367_z_score,cumulative_transaction_delta_7_ma,cumulative_transaction_delta_7_std,cumulative_transaction_delta_7_z_score,cumulative_transaction_delta_31_ma,cumulative_transaction_delta_31_std,cumulative_transaction_delta_31_z_score,cumulative_transaction_delta_127_ma,cumulative_transaction_delta_127_std,cumulative_transaction_delta_127_z_score,cumulative_transaction_delta_367_ma,cumulative_transaction_delta_367_std,cumulative_transaction_delta_367_z_score,long_short_ratio_7_ma,long_short_ratio_7_std,long_short_ratio_7_z_score,long_short_ratio_31_ma,long_short_ratio_31_std,long_short_ratio_31_z_score,long_short_ratio_127_ma,long_short_ratio_127_std,long_short_ratio_127_z_score,long_short_ratio_367_ma,long_short_ratio_367_std,long_short_ratio_367_z_score,short_liquidation_7_ma,short_liquidation_7_std,short_liquidation_7_z_score,short_liquidation_31_ma,short_liquidation_31_std,short_liquidation_31_z_score,short_liquidation_127_ma,short_liquidation_127_std,short_liquidation_127_z_score,short_liquidation_367_ma,short_liquidation_367_std,short_liquidation_367_z_score,long_liquidation_7_ma,long_liquidation_7_std,long_liquidation_7_z_score,long_liquidation_31_ma,long_liquidation_31_std,long_liquidation_31_z_score,long_liquidation_127_ma,long_liquidation_127_std,long_liquidation_127_z_score,long_liquidation_367_ma,long_liquidation_367_std,long_liquidation_367_z_score,liquidation_delta_7_ma,liquidation_delta_7_std,liquidation_delta_7_z_score,liquidation_delta_31_ma,liquidation_delta_31_std,liquidation_delta_31_z_score,liquidation_delta_127_ma,liquidation_delta_127_std,liquidation_delta_127_z_score,liquidation_delta_367_ma,liquidation_delta_367_std,liquidation_delta_367_z_score,cumulative_liquidation_delta_7_ma,cumulative_liquidation_delta_7_std,cumulative_liquidation_delta_7_z_score,cumulative_liquidation_delta_31_ma,cumulative_liquidation_delta_31_std,cumulative_liquidation_delta_31_z_score,cumulative_liquidation_delta_127_ma,cumulative_liquidation_delta_127_std,cumulative_liquidation_delta_127_z_score,cumulative_liquidation_delta_367_ma,cumulative_liquidation_delta_367_std,cumulative_liquidation_delta_367_z_score,close_predicted_funding_rate_7_ma,close_predicted_funding_rate_7_std,close_predicted_funding_rate_7_z_score,close_predicted_funding_rate_31_ma,close_predicted_funding_rate_31_std,close_predicted_funding_rate_31_z_score,close_predicted_funding_rate_127_ma,close_predicted_funding_rate_127_std,close_predicted_funding_rate_127_z_score,close_predicted_funding_rate_367_ma,close_predicted_funding_rate_367_std,close_predicted_funding_rate_367_z_score,close_funding_rate_7_ma,close_funding_rate_7_std,close_funding_rate_7_z_score,close_funding_rate_31_ma,close_funding_rate_31_std,close_funding_rate_31_z_score,close_funding_rate_127_ma,close_funding_rate_127_std,close_funding_rate_127_z_score,close_funding_rate_367_ma,close_funding_rate_367_std,close_funding_rate_367_z_score,close_open_interest_7_ma,close_open_interest_7_std,close_open_interest_7_z_score,close_open_interest_31_ma,close_open_interest_31_std,close_open_interest_31_z_score,close_open_interest_127_ma,close_open_interest_127_std,close_open_interest_127_z_score,close_open_interest_367_ma,close_open_interest_367_std,close_open_interest_367_z_score
1568332800,186.84499999993932,186.84499999993932,1865.0,1865.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1568419200,-1611.3439999995971,-1424.4989999996578,6003.0,7868.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1568505600,-5680.547000000018,-7105.045999999676,1585.0,9453.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1568592000,-6036.1769999999815,-13141.222999999656,2347.0,11800.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1568678400,2819.4480000002295,-10321.774999999427,1268.0,13068.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1568764800,6033.716999999859,-4288.057999999568,-1187.0,11881.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1568851200,-5805.018999999822,-10093.07699999939,-302.0,11579.0,,,10256.625330361261,64.74681728827566,-0.1749171748603103,,,,,,,,,,21415.397857143227,2413.8526063533404,2.0487543977792355,,,,,,,,,,-1441.8681428570558,4740.530469549211,-0.9203929571109093,,,,,,,,,,-6598.118999999634,4954.593703080899,-0.7053974976447609,,,,,,,,,,29248.714285714286,3779.1870692996804,2.1336032237694753,,,,,,,,,,1654.142857142857,2290.9075660511658,-0.853872450434418,,,,,,,,,,9644.857142857143,3847.5966277046,0.5026885727095379,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1568937600,-4227.446000000382,-14320.522999999772,-179.0,11400.0,,,10232.347440788553,61.8808779212431,-1.066523989406696,,,,,,,,,,21997.94171428613,2296.1961679877077,0.5835460856503724,,,,,,,,,,-2072.4811428571015,4781.192372244527,-0.4507170365394927,,,,,,,,,,-8670.600142856736,4669.43131835654,-1.2099809317104575,,,,,,,,,,29407.85714285714,3741.6487644072736,-0.07559692549120109,,,,,,,,,,1362.142857142857,2387.769142147221,-0.6454321022663739,,,,,,,,,,11007.0,1750.7291814174648,0.22447789422337183,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1569024000,-7215.229999999523,-21535.752999999295,1720.0,13120.0,,,10181.510958986313,96.11522013974654,-2.0619102645571474,,,,,,,,,,22437.959142857606,2297.9479455917894,0.5778594156973179,,,,,,,,,,-2873.036285714234,5146.32233716932,-0.8437469380656142,,,,,,,,,,-11543.63642857097,5568.472962327099,-1.7944087434793898,,,,,,,,,,29532.85714285714,3731.89770441132,0.03353330317573619,,,,,,,,,,750.2857142857143,1302.4701806293183,0.7445193756725748,,,,,,,,,,11757.285714285714,1228.9062500567616,1.1088838433780805,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1569110400,-2972.1789999997454,-24507.93199999904,3317.0,16437.0,,,10142.193589648805,96.97172282519762,-1.2287457227463274,,,,,,,,,,22963.920571429066,2213.173904576048,0.5721513460614746,,,,,,,,,,-2486.126571428481,4999.793671846086,-0.09721449733180652,,,,,,,,,,-14029.76299999945,6966.030004715901,-1.5041808595291757,,,,,,,,,,30263.714285714286,3191.138757783587,-0.000850569630563933,,,,,,,,,,997.7142857142857,1614.5845403989338,1.4364597555930159,,,,,,,,,,12755.0,1764.6161055595078,2.0865728179628884,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
