datetime,open_price,high_price,low_price,close_price,volume,buy_volume,transactions,buy_transactions,long_short_ratio,long_liquidation,short_liquidation,open_predicted_funding_rate,high_predicted_funding_rate,low_predicted_funding_rate,close_predicted_funding_rate,open_funding_rate,high_funding_rate,low_funding_rate,close_funding_rate,open_open_interest,high_open_interest,low_open_interest,close_open_interest,volume_delta,cumulative_volume_delta,transaction_delta,cumulative_transaction_delta,liquidation_delta,cumulative_liquidation_delta
2019-10-01,8285.31,8499.0,8171.0,8290.0,39212.194999998035,19547.24400000143,68093,36858.0,,,,,,,,,,,,,,,,-117.7069999951782,-18584.093999976267,5623.0,67962.0,,
2019-10-02,8290.0,8365.92,8149.35,8352.14,30329.17900000132,13840.600000000819,52540,26198.0,,,,,,,,,,,,,,,,-2647.978999999681,-21232.07299997595,-144.0,67818.0,,
2019-10-03,8353.4,8386.0,8020.0,8220.27,33429.97500000429,15177.654000001314,60535,29771.0,,,,,,,,,,,,,,,,-3074.6670000016657,-24306.739999977617,-993.0,66825.0,,
2019-10-04,8219.95,8227.42,7979.95,8130.56,28421.111000001983,12437.97600000115,55738,28309.0,,,,,,,,,,,,,,,,-3545.158999999683,-27851.8989999773,880.0,67705.0,,
2019-10-05,8130.0,8175.0,8010.0,8122.14,30257.41700000382,12199.701000001329,54307,26338.0,,,,,,,,,,,,,,,,-5858.015000001164,-33709.91399997847,-1631.0,66074.0,,
2019-10-06,8122.01,8148.43,7760.0,7852.79,41909.038999997705,19790.52800000185,71276,35274.0,,,,,,,,,,,,,,,,-2327.982999994005,-36037.89699997247,-728.0,65346.0,,
2019-10-07,7851.01,8330.0,7764.42,8186.88,62760.298999997554,30547.437000001082,85209,43206.0,,,,,,,,,,,,,,,,-1665.42499999539,-37703.32199996786,1203.0,66549.0,,
2019-10-08,8188.55,8322.01,8103.88,8167.62,44715.16499999692,20732.257000001457,61775,31541.0,,,,,,,,,,,,,,,,-3250.65099999401,-40953.97299996187,1307.0,67856.0,,
2019-10-09,8168.33,8700.0,8113.0,8559.77,65446.308000002056,31442.174999999264,84372,42252.0,,,,,,,,,,,,,,,,-2561.958000003531,-43515.93099996541,132.0,67988.0,,
2019-10-10,8559.77,8640.89,8419.34,8556.02,44285.66799999878,20092.24100000096,62588,30443.0,,,,,,,,,,,,,,,,-4101.185999996866,-47617.11699996227,-1702.0,66286.0,,
2019-10-11,8557.0,8788.0,8210.0,8255.58,69152.55099999817,32852.88199999896,84654,42306.0,,,,,,,,,,,,,,,,-3446.7870000002586,-51063.90399996253,-42.0,66244.0,,
2019-10-12,8255.54,8397.45,8248.34,8300.22,37761.51400000008,15308.279000000963,51542,24962.0,,,,,,,,,,,,,,,,-7144.9559999981575,-58208.85999996069,-1618.0,64626.0,,
2019-10-13,8300.31,8456.0,8137.3,8274.66,43820.91299999631,19428.259999999398,59728,29762.0,,,,,,,,,,,,,,,,-4964.392999997515,-63173.252999958204,-204.0,64422.0,,
2019-10-14,8274.33,8381.77,8205.02,8346.05,61999.820999992866,28780.203999998525,69439,35059.0,,,,,,,,,,,,,,,,-4439.412999995813,-67612.66599995401,679.0,65101.0,,
2019-10-15,8346.31,8408.62,8080.0,8160.01,86245.62700000568,42903.88899999866,76074,39769.0,,,,,,,,,,,,,,,,-437.84900000836933,-68050.51499996238,3464.0,68565.0,,
2019-10-16,8160.55,8184.0,7900.24,7992.21,70428.10100000189,37094.13700000161,73347,37804.0,,,,,,,,,,,,,,,,3760.173000001334,-64290.34199996105,2261.0,70826.0,,
2019-10-17,7994.76,8124.63,7930.0,8069.2,58350.46500000041,30213.41500000095,62938,31906.0,,,,,,,,,,,,,,,,2076.3650000014895,-62213.97699995956,874.0,71700.0,,
2019-10-18,8069.41,8117.3,7817.07,7943.94,988335.8110000632,585425.9110000184,84298,44809.0,,,,,,,,,,,,,,,,182516.0109999735,120302.03400001395,5320.0,77020.0,,
2019-10-19,7945.57,8108.54,7852.12,7947.13,78019.21399999723,39946.52399999939,78103,39200.0,,,,,,,,,,,,,,,,1873.834000001545,122175.8680000155,297.0,77317.0,,
2019-10-20,7947.78,8300.5,7871.17,8218.23,78663.91499999052,40050.33399999736,92775,47587.0,,,,,,,,,,,,,,,,1436.7530000042025,123612.6210000197,2399.0,79716.0,,
2019-10-21,8218.23,8334.57,8150.0,8201.74,59928.51599999877,30160.552999999698,76821,39406.0,,,,,,,,,,,,,,,,392.59000000062224,124005.21100002032,1991.0,81707.0,,
2019-10-22,8201.0,8290.0,8000.0,8020.89,69484.42299998605,35686.92099999794,86571,43833.0,,,,,,,,,,,,,,,,1889.4190000098315,125894.63000003016,1095.0,82802.0,,
2019-10-23,8020.68,8047.78,7172.76,7465.0,108474.66099999881,52597.5539999967,147357,73452.0,,,,,,,,,,,,,,,,-3279.553000005413,122615.07700002474,-453.0,82349.0,,
2019-10-24,7465.18,7495.81,7337.44,7411.35,66719.53399999194,30969.404999998824,83938,38737.0,,,,,,,,,,,,,,,,-4780.723999994294,117834.35300003045,-6464.0,75885.0,,
2019-10-25,7410.07,8800.0,7359.0,8650.0,165118.92599998598,84120.47099998778,241595,121910.0,,,,,,,,,,,,,,,,3122.015999989584,120956.36900002003,2225.0,78110.0,,
2019-10-26,8650.0,10408.48,8626.89,9232.22,248161.16099985212,122864.96000002137,391072,195970.0,,,,,,,,,,,,,,,,-2431.240999809379,118525.12800021065,868.0,78978.0,,
2019-10-27,9234.75,9803.83,9066.07,9533.32,163544.01899993568,80566.53699999522,240662,120608.0,,,,,,,,,,,,,,,,-2410.9449999452336,116114.18300026542,554.0,79532.0,,
2019-10-28,9534.37,9930.13,9156.03,9217.36,155599.9749999544,76273.35099999269,219154,109792.0,,,,,,,,,,,,,,,,-3053.27299996902,113060.9100002964,430.0,79962.0,,
2019-10-29,9215.78,9569.1,9070.0,9415.02,124703.01399996722,62048.877999985976,182431,90772.0,,,,,,,,,,,,,,,,-605.2579999952723,112455.65200030112,-887.0,79075.0,,
2019-10-30,9415.02,9418.65,8975.72,9165.3,98464.85799997348,48285.83599999383,176524,86461.0,,,,,,,,,,,,,,,,-1893.1859999858134,110562.46600031531,-3602.0,75473.0,,
2019-10-31,9163.4,9438.64,8933.0,9150.0,98836.0439999817,48306.45599999147,184873,89677.0,,,,,,,,,,,,,,,,-2223.131999998761,108339.33400031655,-5519.0,69954.0,,
2019-11-01,9149.88,9280.0,9050.27,9231.01,87256.9489999901,43597.27599999433,168268,85782.0,,,,,,,,,,,,,,,,-62.397000001437846,108276.93700031511,3296.0,73250.0,,
2019-11-02,9231.7,9375.0,9194.98,9287.8,56602.05499997781,28059.73999999962,115847,60438.0,,,,,,,,,,,,,,,,-482.5749999785694,107794.36200033655,5029.0,78279.0,,
2019-11-03,9288.96,9366.69,9073.0,9197.88,75612.72200001463,36510.145999974,189553,89135.0,,,,,,,,,,,,,,,,-2592.430000066641,105201.93200026991,-11283.0,66996.0,,
